what	hu	en	ro
button-csapat	Csapat	Team	Echipa
button-kapcsolat	Kapcsolat	Contact	Contact
rovid-leiras-erted1	Erdélyi magyar közösségépítő és értékteremtő kezdeményezés,	Civic organization for the enhancement of Hungarian life in Transylvania,	Inițiativă civică pentru formarea societății maghiare din Transilvania,
rovid-leiras-erted2	"amelynek célja a közösségi, ifjúsági
és kulturális élet serkentése"	focusing on the stimulation of the community, youth life and culture	cu scopul de a stimula viața comunității, tineretul și cultura
rovid-leiras-eter	Közbeszéd-élénkítő ifjúsági blog	Youth Blog	Blog pentru tineri de la tineri
rovid-leiras-talks1	Perspektívatágító	Presentation series	Serie de prelegeri
rovid-leiras-talks2	szakmai előadássorozat	improving general knowledge	pentru formarea culturii generale
rovid-leiras-affer1	Közösségi véleményformálást	Debates shaping	Dezbatere pentru
rovid-leiras-affer2	szolgáló vitaest	public opinion	formarea opiniei publice
rovid-leiras-makutatsz1	Középiskolásoknak szánt	Scientific competition	Concurs științific
rovid-leiras-makutatsz2	tudományos diákpályázat	for high school students	pentru liceeni
modal-alcim-erted	Erdélyi magyar közösségépítő és értékteremtő kezdeményezés	Civic organization for the enhancement of Hungarian life in Transylvania,	Inițiativă civică pentru formarea societății maghiare din Transilvania,
modal-leiras-erted	Az Érted ambiciózus és tenni akaró fiatalok által – 2019 őszén, egy kolozsvári kávézó mellékszobájában – alapított értékteremtő kezdeményezés. Célja, hogy fellendítse az erdélyi magyar közösség mindennapjait, hogy élénkítse a kulturális és ifjúsági életet, valamint, hogy megújítsa a közbeszédet. Előadástól vitaestig, blogtól podcast-ig, videóesszéktől tudományos diákpályázatig mindent megtalálsz az Értedben. Ennek ellenére, nem lehet pontosan meghatározni és jellemezni a kezdeményezést, és pont ez a lényeg. Van benne ellenérv és konszenzus, értelem és érzelem, elmélet és gyakorlat. A legfontosabb mégis, hogy 23 fiatal, aki Európa különböző pontjain él, egy közös céllal rendelkezik: együtt, egy baráti társaságként szeretnének értéket teremteni Erdélyben és Erdélynek, független attól, hogy milyen mértékben, minőségben vagy csatornán keresztül teszik ezt. Kövesd a kezdeményezést, hiszen Érted (is) van!	Érted is a civic organization established in the fall of 2019, in the backroom of a café in Cluj by ambitious youngsters who wanted to make an impact. Its main goal is to revitalize the life of the Hungarian community from Transylvania, to stimulate the youth and the culture, as well as to reform public opinion. From presentation to debate, from blog to podcast, from informative video to scientific contest, the organization covers a broad range of projects. Nonetheless, Érted remains difficult to define or characterise precisely, and this is the exact point. There is dispute and consensus, rationality and sentiment, theory and practice. After all, the most important aspect is that 23 young people currently living in different points across Europe have one common vision: regardless the scale, the background or the channel they want to create value in Transylvania. Follow the initiative!	Érted este o organizație civică înființată în toamna anului 2019 într-o încăpere alăturată a unei cafenele din Cluj, de către tineri ambițioși care vor să-și lase amprenta. Scopul principal este revitalizarea vieții de zi cu zi a comunității maghiare din Transilvania, stimularea tineretului și a culturii, respectiv reînnoirea discursului public. De la prelegeri la dezbateri, de la blog la podcast, de la videouri informative la concursuri științifice pentru studenți, poți găsi orice în cadrul acestei organizații. Érted nu are însă o definiție anume și este dificil de caracterizat, iar chiar aceasta este esența. Conține argumente contradictorii și consens, raționament și sentiment, teorie și practică. Cel mai important este însă faptul că 23 de tineri care locuiesc în diferite puncte ale Europei, au un obiectiv comun: își doresc ca împreună, într-un cerc prietenesc să adauge valoare la tot ce înseamnă Transilvania, indiferent în ce măsură, context sau prin ce intermediu. Urmărește inițiativa!
modal-alcim-eter	Erdélyi magyar közbeszéd-élénkítő ifjúsági blog	Transylvanian Blog - made by the youth, for the youth	Blog pentru tineri de la tineri
modal-leiras-eter	Az Éter azért jött létre, hogy új módszereket, lehetőségeket, hangokat és embereket vezessen be az erdélyi magyar közéletbe. Célja, hogy felélénkítse a vitákat a közös problémákról, hogy megkönnyítse a véleményformálást, valamint, hogy megfelelő időben megfelelő helyre jussson el a megfelelő információ. Az Éteren rendszeresen jelennek meg cikkek, podcast-ek, videók és ismeretterjesztő tartalmak. Kövesd az oldalt, ha pedig van egy ötleted, amit megfogalmaznál egy cikk formájában, küldd be!	Éter is a youth blog aiming to introduce new voices and new people into the community of opinion formers and opinion leaders. By offering fresh opportunities and methods to those willing to share their views or knowledge, we help them deliver the right information to the right people. We create and upload regularly articles, podcasts, interactive infographics and videos – if you want to present your opinion to the general public, send it to us written in an article and we’ll make sure it reaches its target!	Blogul Éter a fost înființat cu scopul de a introduce metode, posibilități, voci și persoane noi în viața publică a maghiarilor din România. Scopul lui este de a genera dezbateri despre problemele comuna, de a democratiza manifestarea opiniilor și de a aduce informația la locul potrivit, în timpul potrivit. Pe blog pot apărea articole, podcasturi, filmulețe și alte materiale informative. Te invităm să urmărești pagina și dacă ai o idee de transmis comunității, contactează-ne cu încredere.
modal-alcim-ahet	Történelmi eseményeket összefoglaló heti rovat	Weekly Interactive Infographic	Infografică despre săptămâna viitoare.
modal-leiras-ahet	A Hét egy olyan rovat, amely összefoglalja az adott hét napjain történő legfontosabb és legérdekesebb múltbéli eseményeket, különös hangsúlyt fektetve a magyar történésekre. Legyen szó történelemről, feltalálásokról, felfedezésekről, sportról, kultúráról vagy éppen nemzetközi napokról, a Hét összefoglalóiban mindenről találsz információt. Kövesd figyelemmel a heti rendszerességgel megjelenő rovatot, hiszen tartalmaz olyan érdekességeket, amelyekről még te sem hallottál!	A Hét' or 'The Week', is a weekly column (in the form of an infographic) published on Sundays that presents the most important historic or upcoming events of the world. Be it History, Geography, Science, Sports or Culture that excites you, 'A Hét' contains interesting and little-known facts that will surprise and fascinate you!	Rubrica 'A Hét' (Săptămâna) cuprinde aniversările din săptămâna următoare. Poate fi vorba despre istorie, invenții importante, sport, cultură sau chiar zile internaționale, 'A Hét' îți aduce toate informațiile în forma unei infografici. Urmărește această rubrică dacă vrei să afli curiozități despre care poate că nici nu ai auzit.
modal-alcim-podcast	(Nem) mindennapi témákat feldolgozó podcast-sorozat	Éter Podcast	Podcast cu teme (ne)obișnuite.
modal-leiras-podcast	Az Éter Podcast-ben a legkülönfélébb témák kerülnek szóba: magánélet vagy közélet, művészet vagy politika, felfedezetlen szépség vagy csúnya igazság. A szerkesztők minden ilyen jellegű témát könyörtelenül elemeznek meghívottjaik segítségével. Egy laza és szórakoztató beszélgetés pillanatok alatt polgárpukkasztó vitába vagy mély filozófiai eszmefuttatásba alakulhat át. Hallgasd főzés vagy vezetés közben, kacagj vagy idegeskedj egy végkövetkeztetésen: az Éter Podcast célja, hogy gondolatokat ébresszen benned!	You will hear about every aspect of the world in our podcast episodes, be it politics or personal relationships, art or scientific research, the beauty of nature or the incontrovertible, ugly truth. Our editors and their guests analyse each topic in depth, talking philosophy and science - and you are also guaranteed to laugh at their offbeat and lighthearted remarks. The main goal, however, is to simply make you think and question stuff!	Podcastul nostru îți aduce cele mai diverse teme: viață personală, viață publică, artă, politică, frumusețea nedescoperită sau adevărul urât. În discuția dintre editorii podcastului și invitații lor, o convorbire lejeră se poate transforma într-o dezbatere provocativă sau chiar într-un discurs filozofic. Poți să-l asculți în bucătărie, în mașină sau oriunde: Éter Podcast are scopul de a te provoca să te gândești.
modal-alcim-etermezo	Társadalmi témákat érintő informatív videósorozat	Informational Video Series	Serie de filmulețe cu teme informative
modal-leiras-etermezo	Az Étermező akkor is fogyasztható tartalmat biztosít számodra, ha olvasás helyett a videókban leled örömöd. Információval és érdekességekkel teli rövid videóesszék által színesebbé próbálja tenni az erdélyi magyarság online életet, mindezt egy fiatalos és dinamikus stílus keretein belül. Az Étermező által betekintést nyerhetsz egy témába, amelyet a későbbiekben még jobban elsajátíthatsz: hallgass róla hosszabb összefoglalót az Éter Podcast-ben, írj róla cikket az Éteren vagy vitázz róla az Afféron!	If you are too tired or have no time to read, fear not, for the editors of the 'Étermező' create videos that explain important and compelling topics in 5 minutes! Their funky – and, if needed, solemn – style makes any subject easier to digest, while you can find more exhaustive analyses in our podcasts or articles.	Dacă îți face plăcere ca în loc să citești un articol să te uiți la un video informativ, seria ”Étermező” îți aduce filmulețe pline de informații interesante și de curiozități, totul într-un stil dinamic și modern.
modal-alcim-talks	Perspektívatágító szakmai előadássorozat	Presentation series improving general knowledge	Serie de prelegeri pentru formarea culturii generale
modal-leiras-talks	Az Érted Talks az értékteremtő és innovatív gondolatok tárhelye, ahol a szakmájukban köz- és elismert személyek előadása hallható és nézhető. A feldolgozott témakörök rendkívül sokszínűek: egy Érted Talks-on szó eshet a pszichológiától az építészeten át a nyelvészetig bármilyen témáról. Legfőbb célja, hogy a résztvevők perspektíváját és általános műveltségét tágítsa, hiszen a kritikus gondolkodás elengedhetetlen a 21. században az érvényesüléshez. Ha kíváncsi típus vagy, látogass el egy előadásra (vagy az összesre)!	Érted Talks are events offering valuable and innovative new ideas by bringing forward renowned professionals from various fields. The topics approached are highly diverse: one can hear about everything from psychology to architecture or from linguistics to chemistry in an Érted Talk. The main objective is to broaden the participants’ perspective and general knowledge, as critical thinking is indispensable in the 21st century. If you are a curious person, make sure to attend a presentation (or even all of them)!	Érted Talks este platforma ideilor inovative, unde se pot urmări persoane (re)cunoscute în domeniul profesional din care fac parte. Subiectele abordate sunt extrem de diverse: în cadrul unui Érted Talks se vorbește despre orice de la psihologie până la arhitectură sau de la lingvistică până la chimie. Scopul principal este lărgirea bazei de cunoștințe și a culturii generale a participanților, gândirea critică fiind esențială în secolul al XXI-lea. Dacă ești o persoană curioasă, participă la una dintre prelegeri (sau mai bine la toate)!
modal-alcim-affer	Közösségi véleményformálást szolgáló vitaest	Debates shaping public opinion	Dezbatere pentru formarea opiniei publice
